pedido,contem_dados_pessoais
Meu nome é Gustavo Souza Almeida e meu CPF é 064.935.469-90. Solicito informações sobre meu processo administrativo.,1
Gostaria de obter o planejamento estratégico da Secretaria de Educação para o período 2022-2027.,0
Gostaria de obter dados estatísticos sobre segurança no Distrito Federal.,0
Peço acesso aos editais de concursos públicos realizados pela Instituto de Previdência.,0
Gostaria de saber quantos servidores públicos estão lotados na Secretaria de Saúde.,0
"Sou Daniel Silva Ramos, titular do CPF 820.378.208-60 e título de eleitor 813088072724. Peço informações eleitorais.",1
Gostaria de saber quantos servidores públicos estão lotados na Secretaria de Segurança.,0
"Dados pessoais: Nome: Adriana Campos Silva, Data de Nascimento: 17/12/1987, CPF: 085.347.550-43. Solicito correção de dados.",1
"Dados pessoais: Nome: Amanda Andrade Mendes, Data de Nascimento: 24/10/1996, CPF: 238.717.647-28. Solicito correção de dados.",1
Gostaria de obter dados estatísticos sobre economia no Distrito Federal.,0
Peço acesso às atas das reuniões do conselho de Direitos Humanos realizadas em 2023.,0
"Meus dados: Paulo Batista Almeida, CPF: 879.864.015-16, RG: 78.306.169-2, residente em Alameda Brasil, nº 5242, Vila Rica, Salvador - CEP 14518-324. Solicito extrato de serviços.",1
"Solicito informações sobre o processo número 69656/2023. Meus dados: Nome: Camila Alves Cardoso, CPF: 830.410.545-40, Endereço: Qd Beira Rio, nº 8804, Centro, Manaus - CEP 35513-417.",1
Cidadão: Bruna Carvalho Freitas. Documento: CPF 644.690.246-86. Contato: (21) 999394-4721 / bruna@hotmail.com. Gostaria de informações.,1
Solicito dados sobre as transferências voluntárias realizadas no ano de 2020.,0
Nome: Priscila Campos Andrade. Telefone: (54) 992022-5973. Email: priscila@hotmail.com. Preciso de informações sobre meu cadastro.,1
Solicito informações sobre o processo licitatório número 79717/2026.,0
"Sou José Dias Nascimento, titular do CPF 627.675.475-70 e título de eleitor 669294775700. Peço informações eleitorais.",1
"Me chamo Mateus Carvalho Monteiro e meu CPF é 519.465.194-56. Moro na Av. São Paulo, nº 2497, Parque das Nações, São Paulo - CEP 17020-179. Preciso de informações sobre minha aposentadoria.",1
"Dados do solicitante: Nome: Lucas Alves Martins, RG: 98.667.280-1, CPF: 081.647.621-72, Tel: (85) 997189-8926. Solicito informações.",1
"Me chamo Felipe Martins Teixeira e meu CPF é 986.057.319-07. Moro na Cj dos Ipês, nº 3447, Boa Vista, São Paulo - CEP 34127-579. Preciso de informações sobre minha aposentadoria.",1
Peço acesso aos relatórios de gestão do programa Saúde da Família.,0
Peço informações sobre as metas e resultados do programa Bolsa Família.,0
