pedido,contem_dados_pessoais
Nome: Carolina Martins Fernandes. Telefone: (81) 994026-6495. Email: carolina@bol.com.br. Solicito informações sobre meu cadastro.,1
Solicito cópia do contrato nº 20529/2026 firmado entre a Secretaria de Meio Ambiente e a empresa Inovação Tecnológica.,0
Meu nome é Francisco Machado Fernandes. Contato: (81) 994805-9401 / francisco@yahoo.com.br. Gostaria de informações sobre meu processo.,1
Peço acesso aos indicadores de desempenho da Secretaria de Cultura.,0
"Solicito informações sobre o quadro de servidores lotados na Secretaria de Educação do DF, por cargo e função.",0
Solicito informações sobre o resultado da licitação nº 62/2026 realizada pela Secretaria de Cultura.,0
Peço acesso aos gastos com cartão corporativo da Defensoria Pública do DF.,0
Peço acesso à relação de servidores que receberam gratificação no mês de janeiro de 2025.,0
"Solicito informações detalhadas sobre o orçamento da Controladoria-Geral do DF para o exercício de 2025, incluindo despesas com pessoal e custeio.",0
Gostaria de obter a folha de pagamento consolidada da Procuradoria-Geral do DF referente a março de 2023.,0
Solicito cópia do contrato nº 88415/2019 firmado entre a Instituto de Previdência do DF e a empresa TechSoluções DF S.A..,0
Peço acesso aos termos de referência e edital da licitação nº 30/2022 da Secretaria de Cultura.,0
"Peço a anonimização dos meus dados. Dados: Nome Luiz Souza Costa, CPF 767.319.200-45, Email luiz@gmail.com.",1
Solicito dados estatísticos sobre o programa Programa de Combate à Dengue no Distrito Federal.,0
Gostaria de obter dados sobre licitações no Distrito Federal.,0
Gostaria de obter a ata de julgamento da licitação nº 41/2024 da Secretaria de Fazenda do DF.,0
Solicito informações sobre o planejamento estratégico da Secretaria de Cultura.,0
"Sou Adriana Torres Alves, portador do RG 83.116.260-8 e CPF 050.367.184-37. Gostaria de obter cópia do meu processo.",1
"Sou Karina Alves Cardoso, titular do CPF 575.151.870-50 e título de eleitor nº 355203899127. Gostaria de informações eleitorais.",1
Solicito informações sobre o atendimento na Secretaria de Esporte e Lazer no ano de 2020.,0
Solicito dados estatísticos sobre o programa Mais Médicos no Distrito Federal.,0
Peço acesso às informações sobre a dotação orçamentária do programa Programa de Habitação no ano de 2024.,0
Peço acesso aos gastos com cartão corporativo da Companhia de Saneamento Ambiental.,0
"Gostaria de obter informações sobre o benefício da minha mãe Yasmin Nascimento Cavalcanti, CPF 611.740.591-09.",1
Gostaria de obter dados sobre licitações no Distrito Federal.,0
Gostaria de obter dados sobre contratos no Distrito Federal.,0
"Gostaria de obter informações sobre todos os contratos ativos da Companhia de Saneamento Ambiental com valores superiores a R$ 100.000,00.",0
Gostaria de obter a ata de julgamento da licitação nº 81/2024 da Tribunal de Contas do DF.,0
"Solicito correção de dados cadastrais. Nome: André Nunes Santos, CPF: 629.420.476-31. Dados incorretos no sistema.",1
Nome: Lucas Correia Freitas. Telefone: (81) 992290-9744. Email: lucas@yahoo.com.br. Solicito informações sobre meu cadastro.,1
Gostaria de obter a folha de pagamento consolidada da Secretaria de Desenvolvimento Econômico referente a fevereiro de 2026.,0
Solicito informações sobre o atendimento na Companhia de Saneamento Ambiental no ano de 2025.,0
Solicito informações sobre o resultado da licitação nº 11/2022 realizada pela Secretaria de Cultura.,0
"Dados pessoais: Nome: Mateus Torres Pinto, RG: 36.247.072-8, CPF: 436.826.048-12. Solicito informações sobre minha aposentadoria.",1
"Gostaria de obter informações sobre o benefício da minha mãe Manuela Ferreira Carvalho, CPF 135.418.573-07.",1
"Dados pessoais: Nome: Vanessa Reis Ribeiro, CPF: 678.670.017-94, RG: 66.191.324-1, Data Nasc: 25/08/2001. Endereço: Rua da Paz, nº 1588, Cruzeiro, Brasília-DF - CEP 72494-428. Contato: (51) 990738-5119 / vanessa@uol.com.br.",1
Gostaria de obter a ata de julgamento da licitação nº 98/2020 da Companhia de Saneamento Ambiental.,0
Gostaria de obter fotos atualizadas das obras em execução pela Departamento de Trânsito.,0
"Me chamo Rodrigo Ferreira Campos, portador do CPF 277.574.333-12 e RG 29.247.572-9. Endereço: Rua do Sol, nº 9469, Brazlândia, Brasília-DF - CEP 71452-235. Telefone: (81) 991185-3878. Gostaria de informações.",1
Solicito cópia do contrato nº 69570/2021 firmado entre a Secretaria de Cultura e a empresa Construções Centrais.,0
"Gostaria de obter informações sobre o benefício da minha mãe Eduardo Costa Souza, CPF 478.262.758-06.",1
Solicito informações sobre as despesas com diárias da Companhia de Saneamento Ambiental no ano de 2025.,0
Nome: Maria Correia Lima. CPF: 412.594.521-74. Solicito acesso aos meus dados cadastrais no sistema da Secretaria de Agricultura.,1
Solicito dados estatísticos sobre o programa Programa de Emprego no Distrito Federal.,0
Nome: Brenda Dias Monteiro. CPF: 215.362.594-70. Solicito acesso aos meus dados cadastrais no sistema da Secretaria de Agricultura.,1
"Dados pessoais: Nome: Noah Rodrigues Nascimento, CPF: 476.746.957-00, RG: 72.020.609-9, Data Nasc: 23/12/1974. Endereço: Travessa Beira Rio, nº 3874, Santa Maria, Brasília-DF - CEP 72650-930. Contato: (91) 992471-4647 / noah@yahoo.com.br.",1
Peço acesso aos gastos com cartão corporativo da Secretaria de Esporte e Lazer.,0
