pedido,contem_dados_pessoais
Sou Tatiane Santos Mendes. Telefone para contato: (11) 998359-6072. Email: tatiane@bol.com.br. Peço informações.,1
Peço acesso aos gastos com cartão corporativo da Secretaria de Saúde do DF.,0
"Sou Amanda Torres Rodrigues, portador do PIS 729.26032.04-2 e CPF 313.002.682-71. Peço informações sobre meu PIS.",1
"Sou Lúcia Rodrigues Nascimento, CPF 416.591.708-77, RG 93.964.687-5. Telefone: (71) 996608-5897. Email: lucia@yahoo.com.br. Moro em Quadra das Flores, nº 7737, Lago Sul, Brasília-DF - CEP 71987-460. Solicito informações sobre meu benefício.",1
Peço acesso aos indicadores de desempenho da Secretaria de Assistência Social.,0
Solicito ocorrência atendida pelo PMDF de nº 2019650955042715.,0
Gostaria de obter a folha de pagamento consolidada da Departamento de Trânsito referente a novembro de 2025.,0
Me chamo Camila Carvalho Araújo. Solicito acesso aos autos do meu processo SEI.,1
Nome: Théo Oliveira Andrade. Telefone: (11) 990985-2117. Email: theo@hotmail.com. Solicito informações sobre meu cadastro.,1
Peço acesso aos documentos de habilitação do vencedor da licitação nº 7/2020.,0
Gostaria de obter fotos atualizadas das obras em execução pela Secretaria de Educação do DF.,0
Número Interno 17661861310. Solicito esclarecimentos.,0
"Meu endereço é Travessa Beira Rio, nº 4223. Solicito atualização.",1
"Sou Alice Cavalcanti Fernandes, portador do CPF 615.883.243-03. Gostaria de saber o andamento do meu requerimento.",1
PIS/PASEP 815.90519.78-1. Solicito atualização cadastral.,1
"Solicito informações sobre o quadro de servidores lotados na Secretaria de Fazenda do DF, por cargo e função.",0
Protocolo: 60792674289. Solicito andamento do processo.,0
Solicito a exclusão dos meus dados pessoais. Nome: João Souza Martins.,1
Solicito informações sobre o atendimento na Instituto de Previdência do DF no ano de 2021.,0
Solicito informações sobre a licitação nº 88/2020.,0
"Solicito informações sobre o quadro de servidores lotados na Secretaria de Obras do DF, por cargo e função.",0
Me chamo Isabela Araújo Vieira. Solicito acesso aos autos do meu processo SEI.,1
Peço acesso às informações sobre a dotação orçamentária do programa Programa de Transporte Escolar no ano de 2020.,0
Me chamo Felipe Cardoso Santos. Solicito acesso aos autos do meu processo SEI.,1
"Peço informações sobre o cadastro do meu dependente Mateus Batista Torres, CPF 588.664.053-37, data nasc. 25/09/1952.",1
"Peço informações sobre o cadastro do meu dependente Matheus Freitas Dias, CPF 081.599.042-15, data nasc. 18/04/1976.",1
Solicito informações sobre o planejamento estratégico da Secretaria de Saúde do DF.,0
"Sou Matheus Bezerra Lima, portador do PIS 825.90303.59-7 e CPF 230.712.188-93. Peço informações sobre meu PIS.",1
"Solicito informações sobre o processo do meu pai Débora Moreira Torres, CPF 048.860.095-22, RG 90.398.008-4.",1
"Sou Camila Cardoso Dias, portador da CNH nº 00325313809 e CPF 826.800.098-86. Peço informações sobre meu cadastro no DETRAN.",1
"Dados pessoais: Nome: Felipe Ferreira Moraes, RG: 48.133.437-0, CPF: 394.562.721-41. Solicito informações sobre minha aposentadoria.",1
Documento/Empenho Nº 2024NE34249. Solicito confirmação de recebimento.,0
